Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/logs,1697,0,3400.0,3372.8212319605213,1.4159639999888896,14588.519297999937,25.0,106.32063807793301,0.0,3400,4200,4400,4600,5100,5700,11000,13000,15000,15000,15000
,Aggregated,1697,0,3400.0,3372.8212319605213,1.4159639999888896,14588.519297999937,25.0,106.32063807793301,0.0,3400,4200,4400,4600,5100,5700,11000,13000,15000,15000,15000
