Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/logs,11912,0,5700.0,7870.224207896815,324.1711620003116,30891.450457000246,25.0,99.8711516952157,0.0,5700,6500,12000,13000,15000,16000,23000,26000,30000,31000,31000
,Aggregated,11912,0,5700.0,7870.224207896815,324.1711620003116,30891.450457000246,25.0,99.8711516952157,0.0,5700,6500,12000,13000,15000,16000,23000,26000,30000,31000,31000
