Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/logs,1363,791,1700.0,2496.284185438742,1.0484929998710868,9966.960046000167,10.49156272927366,68.06797624375105,39.50239853911011,1700,2600,3200,3800,7100,9900,10000,10000,10000,10000,10000
,Aggregated,1363,791,1700.0,2496.284185438742,1.0484929998710868,9966.960046000167,10.49156272927366,68.06797624375105,39.50239853911011,1700,2600,3200,3800,7100,9900,10000,10000,10000,10000,10000
